attachment_id,expected_local_path,attachment_name,parent_title,download_url
"china_money_2779746_1_8c7ed03395a3","data/raw/files/china_money/china_money_2779746_1_8c7ed03395a3.doc","附件2：中国人民银行公告[2007]第20号：远期利率协议业务管理规定.doc","远期利率协议入市指南","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779746&priority=1"
"china_money_2779746_2_aba23e32024f","data/raw/files/china_money/china_money_2779746_2_aba23e32024f.doc","附件3：关于远期利率协议交易备案有关事项的通知.doc","远期利率协议入市指南","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779746&priority=2"
"china_money_2779746_3_be3748940471","data/raw/files/china_money/china_money_2779746_3_be3748940471.doc","附件4：关于发布《远期利率协议交易操作规程》的通知.doc","远期利率协议入市指南","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779746&priority=3"
"china_money_3043345_0_8eae011614a5","data/raw/files/china_money/china_money_3043345_0_8eae011614a5.pdf","附件1.3年期和7年期国开债标准债券远期实物交割合约要素表及可交割券信息.pdf","银行间市场清算所股份有限公司 全国银行间同业拆借中心关于增加3年期和7年期国开债标准债券远期实物交割合约的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=3043345&priority=0"
"china_money_3043345_1_511d86b7db23","data/raw/files/china_money/china_money_3043345_1_511d86b7db23.pdf","附件2.全国银行间债券市场标准债券远期实物交割业务指引.pdf","银行间市场清算所股份有限公司 全国银行间同业拆借中心关于增加3年期和7年期国开债标准债券远期实物交割合约的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=3043345&priority=1"
"china_money_2779756_0_274dffd8cb69","data/raw/files/china_money/china_money_2779756_0_274dffd8cb69.doc","全国银行间债券市场债券远期交易规则.doc","关于发布《全国银行间债券市场债券远期交易规则》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779756&priority=0"
"china_money_2779757_0_c2c579b3e50f","data/raw/files/china_money/china_money_2779757_0_c2c579b3e50f.docx","附件：全国银行间债券市场标准债券远期交易规则（试行）.docx","关于发布《全国银行间债券市场标准债券远期交易规则（试行）》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779757&priority=0"
"china_money_2779764_0_752b062d50c5","data/raw/files/china_money/china_money_2779764_0_752b062d50c5.docx","债券远期交易保证金集中管理操作细则.docx","债券远期交易保证金集中管理操作细则","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779764&priority=0"
"china_money_1817419_0_af58395ff7b7","data/raw/files/china_money/china_money_1817419_0_af58395ff7b7.docx","附件：农发债标准债券远期现金交割（试行）操作指引.docx","关于推出农发债标准债券远期业务的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=1817419&priority=0"
"china_money_2779769_0_890e4535905a","data/raw/files/china_money/china_money_2779769_0_890e4535905a.doc","附件1：全国银行间债券市场标准债券远期实物交割业务指引.doc","全国银行间同业拆借中心 银行间市场清算所股份有限公司关于推出标准债券远期实物交割机制的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779769&priority=0"
"china_money_2779769_1_7132dbe00865","data/raw/files/china_money/china_money_2779769_1_7132dbe00865.doc","附件2：国开绿债标准债券远期实物交割合约要素表.doc","全国银行间同业拆借中心 银行间市场清算所股份有限公司关于推出标准债券远期实物交割机制的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779769&priority=1"
"china_money_2779775_0_14c97aaa573f","data/raw/files/china_money/china_money_2779775_0_14c97aaa573f.docx","附件1.全国银行间同业拆借中心信用风险缓释工具交易规则.docx","关于发布《全国银行间同业拆借中心信用风险缓释工具交易规则》和《全国银行间同业拆借中心信用风险缓释工具交易指引》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779775&priority=0"
"china_money_2779775_1_1190f977adcd","data/raw/files/china_money/china_money_2779775_1_1190f977adcd.docx","附件2.全国银行间同业拆借中心信用风险缓释工具交易指引（已更新为2018年1月版）.docx","关于发布《全国银行间同业拆借中心信用风险缓释工具交易规则》和《全国银行间同业拆借中心信用风险缓释工具交易指引》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779775&priority=1"
"china_money_2779775_2_9060aafe9fb4","data/raw/files/china_money/china_money_2779775_2_9060aafe9fb4.docx","附件3.开通信用风险缓释工具交易系统权限申请表.docx","关于发布《全国银行间同业拆借中心信用风险缓释工具交易规则》和《全国银行间同业拆借中心信用风险缓释工具交易指引》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779775&priority=2"
"china_money_2779776_0_494a81a9fcc2","data/raw/files/china_money/china_money_2779776_0_494a81a9fcc2.docx","附件：《全国银行间同业拆借中心信用风险缓释工具交易指引（2018年1月版）》.docx","关于修订《全国银行间同业拆借中心信用风险缓释工具交易指引》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779776&priority=0"
"china_money_2779770_0_e10d83fabbd6","data/raw/files/china_money/china_money_2779770_0_e10d83fabbd6.doc","附件：全国银行间同业拆借中心银行间市场清算所股份有限公司银行间市场信用违约互换指数交易清算指引（试行）.doc","关于推出银行间市场信用违约互换指数交易清算业务的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779770&priority=0"
"china_money_2874855_0_30f0f94aeb35","data/raw/files/china_money/china_money_2874855_0_30f0f94aeb35.pdf","互换通产品手册（Product Manual of Swap Connect）.pdf","互换通产品手册（Product Manual of Swap Connect）","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2874855&priority=0"
"china_money_2874781_0_28ce10829d91","data/raw/files/china_money/china_money_2874781_0_28ce10829d91.pdf","互换通产品手册（Product Manual of Swap Connect）.pdf","关于“北向互换通”优化功能上线的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2874781&priority=0"
"china_money_2621056_0_c700f326ba6a","data/raw/files/china_money/china_money_2621056_0_c700f326ba6a.docx","表1-“北向互换通”境外投资者业务申请表.docx","“北向互换通”境外投资者入市指南 Northbound Swap Connect Market Entry Guide for Offshore Investors","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2621056&priority=0"
"china_money_2621056_1_be5ce6fc1971","data/raw/files/china_money/china_money_2621056_1_be5ce6fc1971.docx","表2-“北向互换通”境外投资者信息变更表.docx","“北向互换通”境外投资者入市指南 Northbound Swap Connect Market Entry Guide for Offshore Investors","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2621056&priority=1"
"china_money_2621056_2_e7312314249d","data/raw/files/china_money/china_money_2621056_2_e7312314249d.docx","表3-“北向互换通”境外投资者退市申请表.docx","“北向互换通”境外投资者入市指南 Northbound Swap Connect Market Entry Guide for Offshore Investors","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2621056&priority=2"
